file_bytes,entropy_cover,entropy_stego,entropy_delta_pct,gzip_ratio_cover,gzip_ratio_stego,gzip_ratio_delta_pct,chi2_uniform_cover,chi2_uniform_stego,chi2_uniform_p_cover,chi2_uniform_p_stego,chi2_homogeneity_cover_vs_stego,chi2_homogeneity_p,ks_cover_vs_stego,ks_p,diff_variance,modified_ratio,window_n,window_entropy_delta_pct_mean,window_gzip_delta_pct_mean,window_modified_ratio_mean,config,filename,k,hidden_bytes,pad_bytes,psk_run,psk_hex
6071084,0.8162456976536696,0.8169780068310613,0.08971675801743213,0.055653158480429524,0.055716079698452534,0.11305956344802276,1352118008.176588,1351944331.8643224,0.0,0.0,0.39419671869075096,1.0,5.979162864488963e-05,1.0,1.3287877271338,6.028577433618115e-05,32293,0.2930321637058441,0.04220614259941668,6.028577433618115e-05,k3_h1024_pad0,hls_seg002.ts,3,1024,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
12147432,0.9700838251581972,0.9704381679589483,0.03652702906300899,0.06879100043531834,0.06883018567216512,0.05696273727494323,2631517566.597956,2631347204.3395543,0.0,0.0,0.15883875655774427,1.0,2.9800537265867177e-05,1.0,0.6415081916978195,3.021214689656217e-05,64614,0.14901557004828034,0.021151246891798474,3.0212146896562166e-05,k3_h1024_pad0,hls_seg003.ts,3,1024,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
6072964,0.983847138311365,0.9845564842675589,0.07209920409092886,0.0698976644682893,0.06996122486482713,0.0909335054630762,1312264451.1534579,1312093376.0196855,0.0,0.0,0.3111519532926849,1.0,5.993778326374155e-05,1.0,1.4000839794640731,6.0267111743129057e-05,32303,0.2947225526437416,0.042193076895736085,6.0267111743129057e-05,k3_h1024_pad0,hls_seg004.ts,3,1024,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
6073716,0.9838627503892485,0.984381364290768,0.05271201712985221,0.06990333430143919,0.06996277073211853,0.08502660319897182,1312419725.15648,1312318098.2935786,0.0,0.0,0.6878174962903938,1.0,3.58923598008376e-05,1.0,1.2370444926193511,6.042429379312434e-05,32307,0.09358218600062553,0.03432860532390545,6.042429379312434e-05,k3_h1024_pad0,hls_seg005.ts,3,1024,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
10754164,1.0149852888389481,1.016479957997036,0.1472601794847394,0.06772548754138397,0.06785966812483053,0.19812420451691073,2309412432.935982,2308773936.6233444,0.0,0.0,1.7294303948334893,1.0,0.00012664861722400111,1.0,2.819726525514522,0.00012860134920761855,57203,0.6176982918931702,0.08831445644200218,0.00012860134920761855,k3_h4096_pad0,hls_seg000.ts,3,4096,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
6070896,0.8450959938239815,0.8478317413709546,0.32372033082231744,0.05812403968046891,0.05835926031346938,0.404687345018632,1345091383.973708,1344442394.7822082,0.0,0.0,3.9155302967031442,1.0,0.00022401965047658123,1.0,4.892514320098151,0.00022747877743252396,32292,1.111335593728396,0.15770446527290324,0.000227478777432524,k3_h4096_pad0,hls_seg001.ts,3,4096,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
6071084,0.8162456976536696,0.8189978157205765,0.3371678496827568,0.055653158480429524,0.05588952483609187,0.4247132815390288,1352118008.176588,1351466378.2240229,0.0,0.0,4.147343048926897,1.0,0.000224671574302171,1.0,4.952644411035353,0.00022829530937144008,32293,1.0970368963437,0.15643798506957704,0.00022829530937144008,k3_h4096_pad0,hls_seg002.ts,3,4096,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
12147432,0.9700838251581972,0.9714194354177172,0.13767988135480952,0.06879100043531834,0.0689089677554894,0.17148655990542438,2631517566.597956,2630876719.693838,0.0,0.0,1.706099358900279,1.0,0.00011220478534057499,1.0,2.3412824622764057,0.000113768901937463,64614,0.5462270939733805,0.07812777645940737,0.00011376890193746302,k3_h4096_pad0,hls_seg003.ts,3,4096,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
6072964,0.983847138311365,0.9865244705756221,0.27212888669395335,0.0698976644682893,0.07014597814181016,0.3552531767832062,1312264451.1534579,1311622102.8642273,0.0,0.0,3.389079296000985,1.0,0.00022476668723880877,1.0,5.095525646292796,0.00022838930051289618,32303,1.1011567382925518,0.1563895567548479,0.00022838930051289618,k3_h4096_pad0,hls_seg004.ts,3,4096,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
6073716,0.9838627503892485,0.986530267099326,0.2711269136901585,0.06990333430143919,0.07014898292906682,0.351411889121538,1312419725.15648,1311775527.3433764,0.0,0.0,3.1491417032292452,1.0,0.000225068146090468,1.0,4.989896807516735,0.00022852566698871004,32307,1.106454144185968,0.15786052558269104,0.00022852566698871004,k3_h4096_pad0,hls_seg005.ts,3,4096,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
